,Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau_global,Type d'environnement,Laboratoire,target
52,5623,3.875,43.76028,"03° 52' 30.00'' Est, 43° 45' 37.00'' Nord",34276,Avenue du Grand Chêne,Au croisement de l'av. du Grand Chêne et de l'av. des Romarins.,34270,SAINT-MATHIEU-DE-TREVIERS,01/02/2005,En extérieur,FicheMesure5623.pdf,Oui,0.0,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
53,5803,3.81806,43.58139,"03° 49' 05.00'' Est, 43° 34' 53.00'' Nord",34270,1 Impasse des Joncs,Devant la villa de Mr Rebous,34430,SAINT-JEAN-DE-VEDAS,08/03/2005,En extérieur,FicheMesure5803.pdf,Oui,0.66,Rue / Route / Parking,BUREAU VERITAS - Marseille,1
54,6268,3.14167,43.31278,"03° 08' 30.00'' Est, 43° 18' 46.00'' Nord",34081,Rue des écoles,Terrain de basket et football de l'école,34440,COLOMBIERS,25/05/2005,En extérieur,FicheMesure6268.pdf,Oui,0.21,Rue / Route / Parking,BUREAU VERITAS - Marseille,1
55,6375,3.59361,43.43306,"03° 35' 37.00'' Est, 43° 25' 59.00'' Nord",34157,RN 113,"RN 113, devant proprièté de M Delmas et M Lassene",34140,MEZE,30/05/2005,En extérieur,FicheMesure6375.pdf,Oui,0.0,Rue / Route / Parking,AEXPERTISE,1
56,6456,3.68667,43.40806,"03° 41' 12.00'' Est, 43° 24' 29.00'' Nord",34301,Rue Salvador Allende,"Sur le trottoir,  à l'angle du bâtiment de l'ancienne agence.",34200,SETE,01/06/2005,En extérieur,FicheMesure6456.pdf,Oui,0.54,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
57,6807,3.84,43.60861,"03° 50' 24.00'' Est, 43° 36' 31.00'' Nord",34172,888 Rue François Dezeuze,Devant le portail d'entrée de l'immeuble.,34070,MONTPELLIER,19/08/2005,En extérieur,FicheMesure6807.pdf,Oui,0.22,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
58,7015,3.84,43.625,"03° 50' 24.00'' Est, 43° 37' 30.00'' Nord",34172,173 Rue Michel Teule,"Sur le parking du ""Parc d'Alco"".",34080,MONTPELLIER,17/10/2005,En extérieur,FicheMesure7015.pdf,Oui,0.47,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
59,7018,3.8416699999999997,43.6075,"03° 50' 30.00'' Est, 43° 36' 27.00'' Nord",34172,Avenue de la Colline,Devant l'entrée de l'EREA Jean Jacques Rousseau.,34070,MONTPELLIER,18/10/2005,En extérieur,FicheMesure7018.pdf,Oui,0.31,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
60,7019,3.84194,43.60667,"03° 50' 31.00'' Est, 43° 36' 24.00'' Nord",34172,270 Avenue de la Colline,En bordure du Lycée Professionnel de la Colline.,34070,MONTPELLIER,18/10/2005,En extérieur,FicheMesure7019.pdf,Oui,0.29,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
61,7020,3.8422199999999997,43.60611,"03° 50' 32.00'' Est, 43° 36' 22.00'' Nord",34172,36 Rue des Eglantiers,Devant l'entrée des logements du lycée.,34070,MONTPELLIER,18/10/2005,En extérieur,FicheMesure7020.pdf,Oui,0.65,Rue / Route / Parking,CSTB - Saint Martin d'Heres,1
